teacher_id,day,start_time,ending_time,semester
1,1,8:30,11:30,1
1,2,8:30,11:30,1
1,1,8:30,11:30,2
1,2,8:30,11:30,2
2,1,10:30,13:30,1
2,2,12:30,13:30,1
2,4,9:30,10:30,1
2,4,12:30,13:30,1
2,1,10:30,13:30,2
2,2,12:30,13:30,2
2,4,9:30,10:30,2
2,4,12:30,13:30,2
3,1,8:30,11:30,1
3,2,8:30,11:30,1
3,1,8:30,9:30,2
3,1,10:30,13:30,2
3,2,8:30,9:30,2
3,3,8:30,9:30,2
4,2,10:00,13:00,1
4,3,10:00,13:00,1
4,1,11:30,14:30,2
4,2,9:30,12:30,2
5,1,8:00,14:00,1
6,1,10:00,11:00,1
6,2,9:30,11:30,1
6,3,10:00,13:00,1
6,2,9:00,10:30,2
6,2,14:00,14:30,2
6,3,9:30,12:00,2
7,1,12:30,14:30,1
7,2,8:30,12:30,1
7,1,9:30,12:30,2
7,2,9:30,12:30,2
8,3,8:00,14:00,1
8,3,10:30,15:00,2
8,4,9:00,10:30,2
9,1,9:30,10:30,1
9,2,9:30,10:30,1
9,4,9:30,11:30,1
9,1,9:30,10:30,2
9,2,9:30,10:30,2
9,3,9:30,10:30,2
9,4,9:30,10:30,2
10,1,10:00,12:00,1
10,3,10:00,12:00,1
10,1,10:00,12:00,2
10,3,10:00,12:00,2
11,1,12:30,14:30,1
11,2,11:30,12:30,1
11,2,13:30,14:30,1
11,3,11:30,12:30,1
11,3,13:30,14:30,1
11,2,8:30,10:30,2
11,3,8:30,12:30,2
12,1,11:30,14:30,1
12,2,11:30,14:30,1
12,1,8:30,11:30,2
12,2,8:30,11:30,2
13,1,12:30,14:30,1
13,2,12:30,14:30,1
13,4,12:30,14:30,1
13,1,12:30,14:30,2
13,2,12:30,14:30,2
13,3,12:30,14:30,2
14,4,8:00,14:00,1
14,1,8:00,14:00,2
15,2,8:00,11:00,1
15,3,8:00,11:00,1
15,1,8:00,11:00,2
15,2,8:00,11:00,2
16,1,10:00,11:30,1
16,2,10:00,11:30,1
16,3,10:00,11:00,1
16,4,10:00,11:00,1
16,1,10:00,11:30,2
16,2,10:00,11:30,2
16,3,10:00,11:00,2
16,4,10:00,11:00,2
17,1,9:30,12:30,1
17,4,12:30,15:30,1
17,3,11:30,14:30,2
17,4,12:30,15:30,2
18,1,8:30,10:30,1
18,4,16:30,18:30,1
18,1,8:30,10:30,2
18,3,8:30,10:30,2
18,4,8:30,10:30,2
19,3,17:30,19:30,1
19,4,10:00,12:30,1
19,3,17:30,19:30,2
19,4,10:00,12:30,2
20,1,9:30,10:30,1
20,2,9:30,10:30,1
20,3,11:00,13:00,1
20,4,11:00,13:00,1
20,3,11:00,13:30,2
20,4,11:00,13:30,2
21,1,11:30,13:30,1
21,2,11:30,13:30,1
21,4,16:30,18:30,1
21,1,11:30,13:30,2
21,2,11:30,13:30,2
21,3,11:30,13:30,2
22,1,8:30,11:30,1
22,2,8:30,11:30,1
22,1,8:30,11:30,2
22,2,8:30,11:30,2
23,1,11:30,13:30,1
23,2,15:30,16:30,1
23,3,15:30,16:30,1
23,4,11:30,13:30,1
23,1,11:00,13:00,2
23,2,12:30,13:30,2
23,3,8:30,10:30,2
23,4,8:30,9:30,2
24,1,14:30,15:30,1
24,2,12:30,15:30,1
24,2,17:30,18:30,1
24,3,13:30,14:30,1
24,2,12:30,14:30,2
24,2,15:30,17:30,2
25,4,8:30,14:30,1
25,4,8:30,14:30,2
26,1,11:30,13:30,1
26,3,11:30,13:30,1
26,1,11:30,13:30,2
26,3,11:30,13:30,2
27,1,16:00,18:00,1
27,2,16:00,18:00,1
27,3,16:00,18:00,1
27,1,16:00,18:00,2
27,2,16:00,18:00,2
27,3,16:00,18:00,2
28,2,8:30,12:00,1
28,3,8:30,11:00,1
28,2,11:30,13:30,2
28,3,12:30,13:30,2
28,4,8:30,11:30,2
29,1,8:00,9:30,1
29,2,8:00,9:30,1
29,3,8:00,9:00,1
29,4,8:00,9:00,1
29,1,8:00,9:30,2
29,2,8:00,9:30,2
29,3,8:00,9:00,2
29,4,8:00,9:00,2
30,1,12:30,13:30,1
30,2,12:30,13:30,1
30,3,10:30,13:30,1
30,1,11:30,13:30,2
30,2,11:30,13:30,2
30,3,11:30,13:30,2
31,2,9:00,11:00,1
31,3,9:00,11:00,1
31,4,9:00,11:00,1
31,1,9:00,11:00,2
31,2,9:00,11:00,2
31,3,9:00,11:00,2
32,2,8:30,10:30,1
32,3,8:30,10:30,1
32,4,8:30,10:30,1
32,2,11:30,14:30,2
32,3,8:30,10:30,2
33,1,12:30,14:30,1
33,3,10:30,12:30,1
33,4,12:30,13:30,1
33,1,11:30,14:30,2
33,3,11:30,14:30,2
34,4,8:00,10:30,1
34,4,8:00,9:00,2
34,4,14:00,15:00,2
35,2,9:00,11:00,1
35,3,9:00,11:00,1
35,4,9:00,11:00,1
35,4,8:00,12:00,2
36,2,9:30,12:30,1
36,3,9:30,12:30,1
36,4,8:30,10:30,2
36,4,12:00,13:30,2
37,2,11:30,13:30,1
37,3,12:30,14:30,1
37,4,10:30,12:30,1
37,1,10:30,12:30,2
37,2,12:30,14:30,2
37,4,10:30,12:30,2
38,2,10:00,13:00,1
38,3,10:00,13:00,1
38,2,10:00,13:00,2
38,3,10:00,13:00,2
39,2,10:30,13:30,1
39,1,8:30,10:30,2
39,2,10:30,12:30,2
39,3,10:30,12:30,2
40,3,15:00,18:00,1
40,3,15:00,18:00,2
41,2,12:30,14:00,1
41,3,11:30,14:00,1
41,1,11:30,13:30,2
41,2,11:30,13:30,2
41,4,9:30,10:30,2
42,1,12:30,14:30,1
42,2,12:30,14:30,1
42,3,12:30,14:30,1
42,1,12:30,14:30,2
42,2,12:30,14:30,2
43,1,8:30,10:30,1
43,2,8:30,12:30,1
43,2,8:30,11:30,2
43,3,8:30,11:30,2
44,3,8:30,11:00,1
44,4,8:30,10:30,1
44,2,8:00,10:30,2
44,4,8:30,10:30,2
45,3,10:30,12:30,1
45,2,9:30,12:30,2
45,3,9:30,12:30,2
46,2,8:30,11:30,1
46,3,8:30,11:30,1
46,3,8:30,11:30,2
46,4,8:30,11:30,2
47,2,9:30,13:00,1
47,4,9:30,13:00,1
47,2,9:30,12:30,2
47,3,9:30,12:30,2
48,1,11:30,13:30,1
48,2,11:30,13:30,1
48,4,10:30,12:30,1
48,2,11:00,14:00,2
48,3,11:00,14:00,2
49,2,16:30,19:30,1
49,4,16:30,19:30,1
49,2,16:30,19:30,2
49,4,16:30,19:30,2
50,2,10:30,12:30,1
50,4,9:00,13:00,1
50,2,9:00,12:00,2
50,3,9:00,12:00,2
51,1,12:30,14:30,1
51,3,12:30,14:30,1
51,4,10:00,12:00,1
51,2,12:30,14:30,2
51,3,12:30,14:30,2
51,4,12:30,14:30,2
52,1,9:30,11:30,1
52,3,11:30,14:30,1
52,4,13:30,14:30,1
52,2,12:30,14:30,2
52,3,12:30,14:30,2
52,4,12:30,14:30,2
53,1,9:00,12:00,1
53,2,9:00,12:00,1
53,1,9:00,10:30,2
53,2,9:00,12:00,2
53,3,9:00,10:30,2
54,1,9:30,11:30,1
54,1,12:30,14:30,1
54,2,13:30,14:30,1
54,4,13:30,14:30,1
54,4,9:30,11:30,2
54,4,13:30,15:30,2
55,1,8:00,10:00,1
55,3,10:00,12:00,1
55,4,10:00,12:00,1
55,1,12:30,14:30,2
55,3,12:30,14:30,2
55,4,10:30,12:30,2
56,1,16:30,19:30,1
56,2,11:00,14:00,1
56,1,16:30,19:30,2
56,2,11:00,14:00,2
57,1,10:00,10:30,1
57,1,13:00,14:30,1
57,2,9:30,10:30,1
57,2,17:30,18:30,1
57,4,12:30,14:30,1
57,1,13:00,14:30,2
57,2,10:00,11:30,2
57,3,10:00,11:30,2
57,4,10:00,11:30,2
